COMMAND                   AVG_CPU%
isupipe                      118.0
systemd-journal                1.2
pidstat                        0.7
rsyslogd                       0.5
rcu_sched                      0.1
mysql                          0.1
kworker/u4:3-ext4-rsv-conversion       0.1
kworker/u4:2-ext4-rsv-conversion       0.1
kworker/u4:1-ext4-rsv-conversion       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd                        0.0
multipathd                     0.0
kworker/u4:2-events_power_efficient       0.0
