sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
2026-09-22T11:26:21.199Z	info	isupipe-benchmarker	SSL接続が有効になっています
2026-09-22T11:26:21.199Z	info	isupipe-benchmarker	静的ファイルチェックを行います
2026-09-22T11:26:21.199Z	info	isupipe-benchmarker	静的ファイルチェックが完了しました
2026-09-22T11:26:21.199Z	info	isupipe-benchmarker	webappの初期化を行います
2026-09-22T11:26:21.199Z	info	staff-logger	bench/bench.go:172	SSL接続が有効になっています
2026-09-22T11:26:21.199Z	info	staff-logger	bench/bench.go:193	webapp: https://pipe.u.isucon.local:443
2026-09-22T11:26:21.199Z	info	staff-logger	bench/bench.go:194	nameserver: 10.100.0.155:53
2026-09-22T11:26:23.906Z	info	isupipe-benchmarker	ベンチマーク走行前のデータ整合性チェックを行います
2026-09-22T11:26:28.236Z	info	isupipe-benchmarker	整合性チェックが成功しました
2026-09-22T11:26:28.237Z	info	isupipe-benchmarker	ベンチマーク走行を開始します
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.246Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.254Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T11:26:28.254Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T11:26:28.263Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T11:26:28.263Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T11:26:28.295Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T11:26:28.295Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T11:26:28.295Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T11:26:28.298Z	info	staff-logger	scenario/viewer.go:46	change icon
2026-09-22T11:26:28.301Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T11:26:28.310Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T11:26:28.310Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T11:26:28.323Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T11:26:28.323Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T11:26:28.323Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T11:26:28.323Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:26:28.323Z	info	staff-logger	scenario/viewer.go:56	visit top
